Абрам,Abram,M,Russian
Абрам,Abram,M,Ukrainian
Adam,,M,Polish
Adrian,,M,Polish
Agata,,F,Polish
愛,Ai,F,Japanese
Aigars,,M,Latvian
Aija,,F,Latvian
愛子,Aiko,F,Japanese
Ákos,,M,Hungarian
Alan,,M,Polish
Alba,,F,Spanish
Albert,,M,English
Alejandro,,M,Spanish
Ալեքս,Alek’s,M,Armenian
Aleksander,,M,Polish
Александр,Aleksandr,M,Russian
Aleksandra,,F,Polish
Александра,Aleksandra,F,Russian
ალექსანდრე,Aleksandre,M,Georgian
Aleksandrs,,M,Latvian
Алексей,Aleksey,M,Russian
Ալեն,Alen,M,Armenian
Alfred,,M,English
Alice,,F,English
Alicja,,F,Polish
Álvaro,,M,Spanish
Amelia,,F,Polish
ანა,Ana,F,Georgian
Ana,,F,Spanish
Ana María,,F,Spanish
Անահիտ,Anahit,F,Armenian
Анастасия,Anastasiya,F,Russian
Анастасія,Anastasiya,F,Ukrainian
Анатолій,Anatoliy,M,Ukrainian
Анатолий,Anatoly,M,Russian
András,,M,Hungarian
Andrea,,F,Spanish
Andrew,,M,English
Андрей,Andrey,M,Russian
Andris,,M,Latvian
Андрій,Andriy,M,Ukrainian
Andrzej,,M,Polish
Ángel,,M,Spanish
Անգելինա,Angelina,F,Armenian
Anh,,F,Vietnamese
Ánh,,N,Vietnamese
Անի,Ani,F,Armenian
Anikó,,F,Hungarian
Anita,,F,Latvian
Աննա,Anna,F,Armenian
Anna,,F,English
Anna,,F,Hungarian
Anna,,F,Icelandic
Anna,,F,Latvian
Anna,,F,Polish
Анна,Anna,F,Russian
Annamária,,F,Hungarian
Anne,,F,English
Anthony,,M,English
Antoni,,M,Polish
Antonia,,F,Spanish
Antonina,,F,Polish
Antonio,,M,Spanish
Անուշ,Anush,F,Armenian
Արամ,Aram,M,Armenian
Արեն,Aren,M,Armenian
Արման,Arman,M,Armenian
Արմեն,Armen,M,Armenian
Arnar,,M,Icelandic
Árni,,M,Icelandic
Árpád,,M,Hungarian
Արսեն,Arsen,M,Armenian
Արթուր,Art’ur,M,Armenian
Arthur,,M,English
Արտյոմ,Artyom,M,Armenian
Ásdís,,F,Icelandic
Աշոտ,Ashot,M,Armenian
Ásta,,F,Icelandic
敦夫,Atsuo,M,Japanese
Auður,,F,Icelandic
ავთანდილი,Avtandili,M,Georgian
彩,Aya,F,Japanese
綾,Aya,F,Japanese
歩,Ayumi,F,Japanese
Balázs,,M,Hungarian
Bálint,,M,Hungarian
Bảo,,M,Vietnamese
Barbara,,F,Hungarian
Barbara,,F,Polish
Bartłomiej,,M,Polish
Bartosz,,M,Polish
Beatriz,,F,Spanish
Béla,,M,Hungarian
Berglind,,F,Icelandic
Bernard,,M,English
Bianka,,F,Hungarian
Bích,,F,Vietnamese
Birgir,,M,Icelandic
Bjarni,,M,Icelandic
Björn,,M,Icelandic
Blanka,,F,Polish
Błażej,,M,Polish
Boglárka,,F,Hungarian
Bolesław,,M,Polish
Борис,Boris,M,Russian
Борис,Borys,M,Ukrainian
Bryndís,,F,Icelandic
Carl,,M,English
Carlos,,M,Spanish
Carmen,,F,Spanish
Catherine,,F,English
超,Chāo,M,Chinese
Charles,,M,English
千恵子,Chieko,F,Japanese
Clara,,F,English
Clarence,,M,English
Concepción,,F,Spanish
Công,,M,Vietnamese
Cristina,,F,Spanish
Csaba,,M,Hungarian
Cúc,,F,Vietnamese
Cương,,M,Vietnamese
Cường,,M,Vietnamese
Dace,,F,Latvian
太吾,Daigo,M,Japanese
大悟,Daigo,M,Japanese
Damian,,M,Polish
Danh,,M,Vietnamese
Daniel,,M,English
Daniel,,M,Polish
Daniel,,M,Spanish
Daníel,,M,Icelandic
Daria,,F,Polish
Дарья,Darya,F,Russian
Дар’я,Darya,F,Ukrainian
David,,M,English
David,,M,Spanish
Davíð,,M,Icelandic
Դավիթ,Davit’,M,Armenian
დავითი,Daviti,M,Georgian
Dawid,,M,Polish
Dénes,,M,Hungarian
Dezső,,M,Hungarian
Diāna,,F,Latvian
Diễm,,F,Vietnamese
Дмитрий,Dmitry,M,Russian
Дмитро,Dmytro,M,Ukrainian
Dolores,,F,Spanish
Dominik,,M,Polish
Dominika,,F,Polish
Dorina,,F,Hungarian
Dorothy,,F,English
Ðức,,M,Vietnamese
Dung,,F,Vietnamese
Dũng,,M,Vietnamese
Dương,,M,Vietnamese
Duy,,M,Vietnamese
Edgars,,M,Latvian
Edmund,,M,English
Edward,,M,English
英次郎,Eijirō,M,Japanese
英子,Eiko,F,Japanese
Einar,,M,Icelandic
ეკატერინე,Ek’at’erine,F,Georgian
Eleanor,,F,English
Էլեն,Ēlen,F,Armenian
Elín,,F,Icelandic
Elísabet,,F,Icelandic
Elizabeth,,F,English
Ella,,F,English
恵美,Emi,F,Japanese
絵美,Emi,F,Japanese
恵美子,Emiko,F,Japanese
笑子,Emiko,F,Japanese
Emilia,,F,Polish
Emily,,F,English
Emma,,F,English
Enikő,,F,Hungarian
Էրիկ,Ērik,M,Armenian
Erla,,F,Icelandic
Ernő,,M,Hungarian
Erzsébet,,F,Hungarian
Esther,,F,English
ეთერი,Eteri,F,Georgian
Eugene,,M,English
Eva,,F,English
Eva,,F,Icelandic
Evelyn,,F,English
Fabian,,M,Polish
芳,Fāng,F,Chinese
Ferenc,,M,Hungarian
Filip,,M,Polish
Florence,,F,English
Frances,,F,English
Francisca,,F,Spanish
Francisco,,M,Spanish
Franciszek,,M,Polish
Frank,,M,English
Fred,,M,English
藤夫,Fujio,M,Japanese
Gábor,,M,Hungarian
Gabriel,,M,Polish
Gabriela,,F,Polish
Գագիկ,Gagik,M,Armenian
Галина,Galina,F,Russian
Gấm,,F,Vietnamese
刚,Gāng,M,Chinese
Գայանե,Gayane,F,Armenian
Геннадий,Gennady,M,Russian
George,,M,English
Georgia,,F,English
Георгий,Georgy,M,Russian
Գեւորգ,Gevorg,M,Armenian
Giang,,M,Vietnamese
გიორგი,Giorgi,M,Georgian
Gísli,,M,Icelandic
გივი,Givi,M,Georgian
Gladys,,F,English
გოჩა,Gocha,M,Georgian
Գոհար,Gohar,F,Armenian
Գոռ,Goṙ,M,Armenian
Grace,,F,English
Григорий,Grigory,M,Russian
Guðbjörg,,F,Icelandic
Guðjón,,M,Icelandic
Guðmundur,,M,Icelandic
Guðný,,F,Icelandic
Guðrún,,F,Icelandic
桂英,Guìyīng,F,Chinese
Gunārs,,M,Latvian
Gunnar,,M,Icelandic
გურამი,Gurami,M,Georgian
Gyöngyi,,F,Hungarian
György,,M,Hungarian
Győző,,M,Hungarian
Hải,,M,Vietnamese
Hajnal,,F,Hungarian
Halldór,,M,Icelandic
Галина,Halyna,F,Ukrainian
英恵,Hanae,F,Japanese
花子,Hanako,F,Japanese
華子,Hanako,F,Japanese
Hạnh,,F,Vietnamese
Hanna,,F,Polish
Ганна,Hanna,F,Ukrainian
Harold,,M,English
Հասմիկ,Hasmik,F,Armenian
Հայկ,Hayk,M,Armenian
Hazel,,F,English
Helen,,F,English
Helga,,F,Icelandic
Helgi,,M,Icelandic
Геннадій,Hennadiy,M,Ukrainian
Henry,,M,English
Георгій,Heorhiy,M,Ukrainian
Herbert,,M,English
Hiền,,F,Vietnamese
Hiếu,,M,Vietnamese
Hildur,,F,Icelandic
裕,Hiroshi,M,Japanese
弘,Hiroshi,M,Japanese
博之,Hiroyuki,M,Japanese
弘之,Hiroyuki,M,Japanese
宏之,Hiroyuki,M,Japanese
久代,Hisayo,F,Japanese
Hoa,,F,Vietnamese
Hoài,,M,Vietnamese
Հովհաննես,Hovhannes,M,Armenian
Григорій,Hryhoriy,M,Ukrainian
Hubert,,M,Polish
Hulda,,F,Icelandic
Hùng,,M,Vietnamese
Hương,,F,Vietnamese
Huyền,,F,Vietnamese
一子,Ichiko,F,Japanese
一郎,Ichirō,M,Japanese
一朗,Ichirō,M,Japanese
Ieva,,F,Latvian
Iga,,F,Polish
Igor,,M,Polish
Игорь,Igor,M,Russian
Ігор,Ihor,M,Ukrainian
Ілля,Illya,M,Ukrainian
Ilona,,F,Hungarian
Илья,Ilya,M,Russian
Imre,,M,Hungarian
Inese,,F,Latvian
Inga,,F,Icelandic
Inga,,F,Latvian
